chain,config_level,affiliates,properties,cache_keys,noncache_keys,cache_neg_rates,force_cache_only,no_override_sourceonly,min_lead_days,max_lead_days,cache_stale_time_value,cache_stale_time_units
MC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
MC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
MC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
BR,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,Y,0,7,24,HOURS
BR,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,Y,8,14,3,DAYS
BR,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,Y,15,30,7,DAYS
BR,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,Y,31,60,10,DAYS
BR,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,Y,61,121,2,WEEKS
BR,1,G7,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,2,7,4,HOURS
BR,1,G7,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,8,14,12,HOURS
BR,1,G7,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,15,30,1,DAYS
BR,1,G7,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,31,60,2,DAYS
BR,1,G7,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,61,121,3,DAYS
BR,1,T5,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,0,7,24,HOURS
BR,1,T5,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,8,14,3,DAYS
BR,1,T5,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,15,30,7,DAYS
BR,1,T5,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,31,60,10,DAYS
BR,1,T5,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,61,121,2,WEEKS
BR,1,Y9,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,0,30,24,HOURS
BR,1,Y9,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,31,60,10,DAYS
BR,1,Y9,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPC&RPI,,Y,N,N,61,121,2,WEEKS
CY,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
CY,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
CY,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
ET,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
ET,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
ET,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
FN,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
FN,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
FN,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
RC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
RC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
RC,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
RZ,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
RZ,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
RZ,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
TO,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
TO,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
TO,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
XV,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
XV,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
XV,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
DE,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
DE,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
DE,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
FP,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
FP,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
FP,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
TX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
TX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
TX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
SI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
SI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
SI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
WI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
WI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
WI,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
WH,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
WH,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
WH,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
MD,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
MD,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
MD,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
AL,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
AL,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
AL,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
GX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,0,30,24,HOURS
GX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,31,60,10,DAYS
GX,0,ALL,ALL,GDA&GDI&GDS&IND&MTQ&NCH&NPR&NRM&OTD&PIC&RLC&RPI&RPC,,Y,N,Y,61,121,2,WEEKS
